player_name,avg_runs_in_wins,innings_played
DJ Hussey,1.2234513274336283,452
RE van der Merwe,1.2131147540983607,61
TM Dilshan,1.212962962962963,648
CL White,1.2116788321167884,274
IK Pathan,1.2043343653250773,323
WPUJC Vaas,1.2,35
A Mithun,1.2,5
DM Bravo,1.2,5
TR Birt,1.2,20
RJ Quiney,1.196078431372549,51
T Taibu,1.1923076923076923,26
AM Nayar,1.1911764705882353,136
GC Smith,1.189753320683112,527
AL Menaria,1.1805555555555556,144
PA Patel,1.1779816513761467,1090
MG Johnson,1.1688311688311688,77
MDKJ Perera,1.1666666666666667,12
MJ Guptill,1.1647058823529413,85
HH Gibbs,1.1615384615384616,390
FY Fazal,1.1610169491525424,118
LR Shukla,1.1568627450980393,102
Iqbal Abdulla,1.1515151515151516,33
S Sohal,1.150259067357513,193
DJG Sammy,1.1466666666666667,75
UT Khawaja,1.144927536231884,69
NJ Maddinson,1.1428571428571428,14
Y Venugopal Rao,1.1418439716312057,141
MS Bisla,1.1415094339622642,318
M Kaif,1.1412429378531073,177
Y Nagar,1.1379310344827587,87
R Dravid,1.1356993736951984,958
Salman Butt,1.1343283582089552,67
Mohammad Hafeez,1.125,16
Sachin Baby,1.125,40
SK Warne,1.123076923076923,65
R Dhawan,1.1228070175438596,57
W Jaffer,1.12,50
JH Kallis,1.115036976170912,1217
VVS Laxman,1.1142857142857143,70
BR Dunk,1.1111111111111112,18
N Saini,1.108433734939759,83
RS Bopara,1.104,125
S Gopal,1.1,10
M Manhas,1.0986842105263157,152
NK Patel,1.0952380952380953,42
AB Barath,1.09375,32
AD Nath,1.0909090909090908,11
BB Samantray,1.09,100
CM Gautam,1.0847457627118644,59
UBT Chand,1.0802919708029197,137
SB Styris,1.0784313725490196,51
RJ Peterson,1.0714285714285714,28
DS Lehmann,1.0625,16
KV Sharma,1.056338028169014,71
DB Das,1.0555555555555556,36
JEC Franklin,1.0542168674698795,166
MisbahulHaq,1.0512820512820513,39
M Klinger,1.0454545454545454,44
MN Samuels,1.036144578313253,83
Ishan Kishan,1.0333333333333334,60
S Rana,1.0,16
D Salunkhe,1.0,1
IR Jaggi,1.0,15
GB Hogg,1.0,5
RR Raje,1.0,7
T Kohli,1.0,3
RR Sarwan,1.0,53
S Narwal,1.0,2
SW Tait,1.0,1
M Morkel,1.0,7
AP Dole,1.0,4
Swapnil Singh,1.0,2
JO Holder,1.0,3
BB Sran,1.0,1
B Sumanth,1.0,19
Jaskaran Singh,1.0,3
DL Vettori,0.9767441860465116,43
AD Mascarenhas,0.972972972972973,37
R Ashwin,0.9625,80
PA Reddy,0.9618320610687023,131
KB Arun Karthik,0.9615384615384616,26
AG Paunikar,0.96,25
R McLaren,0.9571428571428572,70
CA Pujara,0.956140350877193,228
AB Agarkar,0.9545454545454546,22
SP Goswami,0.95,120
C de Grandhomme,0.9411764705882353,34
MM Sharma,0.9375,16
GR Napier,0.9375,16
S Sriram,0.9310344827586207,29
DT Christian,0.9108910891089109,101
GH Vihari,0.9090909090909091,220
K Goel,0.9032258064516129,62
SD Chitnis,0.8947368421052632,38
CK Kapugedera,0.8888888888888888,9
RR Powar,0.8823529411764706,17
CJ Ferguson,0.8780487804878049,41
Mohammed Shami,0.8571428571428571,7
SS Shaikh,0.8571428571428571,7
Vishnu Vinod,0.8571428571428571,14
A Chopra,0.8541666666666666,48
JDP Oram,0.8541666666666666,48
CR Woakes,0.8148148148148148,27
DJ Thornely,0.8125,48
YV Takawale,0.8070175438596491,57
MR Marsh,0.8,40
FH Edwards,0.8,5
M Muralitharan,0.8,5
Z Khan,0.8,5
SL Malinga,0.7894736842105263,19
TM Srivastava,0.7777777777777778,9
C Madan,0.7777777777777778,18
A Kumble,0.75,4
MS Wade,0.75,4
RT Ponting,0.7407407407407407,54
M Rawat,0.7272727272727273,11
JDS Neesham,0.7272727272727273,11
P Dogra,0.7142857142857143,21
AA Bilakhia,0.6829268292682927,41
WA Mota,0.6774193548387096,31
PP Ojha,0.6666666666666666,6
NM CoulterNile,0.6666666666666666,3
Mohammad Nabi,0.6666666666666666,3
WD Parnell,0.631578947368421,19
MA Starc,0.625,8
L Balaji,0.6153846153846154,13
RR Rossouw,0.6086956521739131,23
Kuldeep Yadav,0.5714285714285714,7
R Shukla,0.5,2
Sandeep Sharma,0.5,6
B Kumar,0.5,10
JM Kemp,0.5,8
M de Lange,0.5,2
Washington Sundar,0.5,8
SM Harwood,0.42857142857142855,7
JD Unadkat,0.4,5
KC Cariappa,0.3333333333333333,3
S Sreesanth,0.3333333333333333,3
Yashpal Singh,0.3157894736842105,19
SA Abbott,0.25,4
T Thushara,0.2,5
J Theron,0.0,1
I Sharma,0.0,1
KP Appanna,0.0,1
JJ Bumrah,0.0,2
A Nehra,0.0,2
TS Mills,0.0,3
VR Aaron,0.0,5
SN Thakur,0.0,2
Anirudh Singh,0.0,1
