match_id,toss_winner,toss_name,match_winner,match_outcome
598037,Sunrisers Hyderabad,bat,Rajasthan Royals,Lost
598038,Mumbai Indians,bat,Mumbai Indians,Won
598039,Kolkata Knight Riders,field,Chennai Super Kings,Lost
598040,Pune Warriors,field,Delhi Daredevils,Lost
598041,Rajasthan Royals,field,Rajasthan Royals,Won
598042,Mumbai Indians,bat,Mumbai Indians,Won
598043,Chennai Super Kings,bat,Chennai Super Kings,Won
598044,Mumbai Indians,bat,Sunrisers Hyderabad,Lost
598045,Kolkata Knight Riders,bat,Delhi Daredevils,Lost
598046,Chennai Super Kings,bat,Chennai Super Kings,Won
598047,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,Won
598048,Rajasthan Royals,bat,Kolkata Knight Riders,Lost
598049,Delhi Daredevils,bat,Sunrisers Hyderabad,Lost
598050,Kings XI Punjab,field,Kings XI Punjab,Won
598051,Mumbai Indians,bat,Mumbai Indians,Won
598052,Pune Warriors,bat,Rajasthan Royals,Lost
598053,Sunrisers Hyderabad,bat,Royal Challengers Bangalore,Lost
598054,Delhi Daredevils,bat,Rajasthan Royals,Lost
598055,Mumbai Indians,bat,Mumbai Indians,Won
598056,Sunrisers Hyderabad,field,Chennai Super Kings,Lost
598057,Rajasthan Royals,field,Rajasthan Royals,Won
598058,Kolkata Knight Riders,bat,Kolkata Knight Riders,Won
598059,Delhi Daredevils,field,Royal Challengers Bangalore,Lost
598060,Pune Warriors,bat,Mumbai Indians,Lost
598061,Kings XI Punjab,field,Sunrisers Hyderabad,Lost
598062,Kolkata Knight Riders,field,Kolkata Knight Riders,Won
598063,Rajasthan Royals,field,Rajasthan Royals,Won
598064,Kings XI Punjab,field,Kings XI Punjab,Won
598065,Sunrisers Hyderabad,bat,Mumbai Indians,Lost
598066,Kolkata Knight Riders,field,Pune Warriors,Lost
598067,Chennai Super Kings,bat,Chennai Super Kings,Won
598068,Rajasthan Royals,field,Mumbai Indians,Lost
598069,Kings XI Punjab,field,Kings XI Punjab,Won
598070,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,Won
598071,Mumbai Indians,field,Kings XI Punjab,Lost
598072,Pune Warriors,bat,Pune Warriors,Won
598073,Chennai Super Kings,field,Royal Challengers Bangalore,Lost
598074,Kolkata Knight Riders,bat,Sunrisers Hyderabad,Lost
598075,Chennai Super Kings,bat,Chennai Super Kings,Won
598076,Sunrisers Hyderabad,bat,Rajasthan Royals,Lost
